,match_id,color,team_id,team_slug,team_name,team_region,core_shots,core_goals,core_saves,core_assists,core_score,score,winner
28,6159ad3d143c37878b2384b7,blue,604e562301d675f81a96aea6,https://octane.gg/teams/aea6-big-goose,BIG GOOSE,Oceania,47.0,11.0,29.0,9.0,6036.0,2.0,False
29,6159ad3d143c37878b2384b7,orange,6020c1fbf1e4807cc7026852,https://octane.gg/teams/6852-vort-central,VORT CENTRAL,Oceania,50.0,12.0,24.0,9.0,5843.0,3.0,True
30,6159ad3d143c37878b2384b8,blue,6091ad1bd50a7d046663343d,https://octane.gg/teams/343d-team-eros,TEAM EROS,Oceania,42.0,16.0,22.0,10.0,5461.0,3.0,True
31,6159ad3d143c37878b2384b8,orange,60c1e2879fc1a47e5f1116c8,https://octane.gg/teams/16c8-panik-gaming,PANIK GAMING,Oceania,30.0,5.0,17.0,5.0,3682.0,1.0,False
32,6159ad3d143c37878b2384b9,blue,615332c4143c37878b237fa6,https://octane.gg/teams/7fa6-wildcard-gaming,WILDCARD GAMING,Oceania,24.0,5.0,13.0,4.0,2760.0,0.0,False
33,6159ad3d143c37878b2384b9,orange,6020bc8ef1e4807cc700391a,https://octane.gg/teams/391a-ground-zero-gaming,GROUND ZERO GAMING,Oceania,29.0,12.0,14.0,10.0,4093.0,3.0,True
34,6159ad3d143c37878b2384ba,blue,6020bec4f1e4807cc70163fc,https://octane.gg/teams/63fc-r-ot-gaming,R!OT GAMING,Oceania,,,,,,3.0,True
35,6159ad3d143c37878b2384ba,orange,6020bc70f1e4807cc70023fb,https://octane.gg/teams/23fb-renegades,RENEGADES,Oceania,,,,,,2.0,False
36,6159ad3d143c37878b2384bb,blue,6156d4db143c37878b238367,https://octane.gg/teams/8367-trident-esports,TRIDENT ESPORTS,Oceania,43.0,10.0,22.0,7.0,5263.0,2.0,False
37,6159ad3d143c37878b2384bb,orange,615c068f143c37878b238569,https://octane.gg/teams/8569-the-grogans,THE GROGANS,Oceania,42.0,13.0,26.0,11.0,5907.0,3.0,True
38,6159ad3d143c37878b2384bc,blue,60ceea8788116f536df972cc,https://octane.gg/teams/72cc-bandits-esc,BANDITS ESC,Oceania,42.0,16.0,18.0,15.0,5632.0,3.0,True
39,6159ad3d143c37878b2384bc,orange,60ffd7dc9d3c410761e88c74,https://octane.gg/teams/8c74-rancid-rats-reborn,RANCID RATS REBORN,Oceania,29.0,5.0,18.0,3.0,3697.0,1.0,False
40,6159ad3d143c37878b2384bd,blue,6020bc8ef1e4807cc7003915,https://octane.gg/teams/3915-dire-wolves,DIRE WOLVES,Oceania,44.0,10.0,20.0,8.0,4960.0,3.0,True
41,6159ad3d143c37878b2384bd,orange,6020c1fbf1e4807cc7026852,https://octane.gg/teams/6852-vort-central,VORT CENTRAL,Oceania,27.0,5.0,31.0,3.0,4421.0,1.0,False
42,6159ad3d143c37878b2384be,blue,615ffec8143c37878b23868f,https://octane.gg/teams/868f-forkidden,FORKIDDEN,Oceania,36.0,10.0,13.0,8.0,4511.0,3.0,True
43,6159ad3d143c37878b2384be,orange,6091ad1bd50a7d046663343d,https://octane.gg/teams/343d-team-eros,TEAM EROS,Oceania,22.0,4.0,16.0,4.0,3573.0,1.0,False
44,6159ad3d143c37878b2384bf,blue,614c8930f8090ec745286474,https://octane.gg/teams/6474-ranga-roundup,RANGA ROUNDUP,Oceania,36.0,6.0,25.0,5.0,4975.0,2.0,False
45,6159ad3d143c37878b2384bf,orange,604e562301d675f81a96aea6,https://octane.gg/teams/aea6-big-goose,BIG GOOSE,Oceania,44.0,8.0,23.0,7.0,5420.0,3.0,True
46,6159ad3d143c37878b2384c0,blue,615580e2f8090ec745286b17,https://octane.gg/teams/6b17-joe,JOE,Oceania,,,,,,3.0,True
47,6159ad3d143c37878b2384c0,orange,60c1e2879fc1a47e5f1116c8,https://octane.gg/teams/16c8-panik-gaming,PANIK GAMING,Oceania,,,,,,0.0,False
48,6159ad3d143c37878b2384c1,blue,60ceea8788116f536df972cc,https://octane.gg/teams/72cc-bandits-esc,BANDITS ESC,Oceania,31.0,13.0,15.0,9.0,4148.0,3.0,True
49,6159ad3d143c37878b2384c1,orange,615332c4143c37878b237fa6,https://octane.gg/teams/7fa6-wildcard-gaming,WILDCARD GAMING,Oceania,25.0,8.0,13.0,6.0,3320.0,0.0,False
50,6159ad3d143c37878b2384c2,blue,6020bc70f1e4807cc70023fb,https://octane.gg/teams/23fb-renegades,RENEGADES,Oceania,9.0,4.0,10.0,3.0,2266.0,3.0,True
51,6159ad3d143c37878b2384c2,orange,615c068f143c37878b238569,https://octane.gg/teams/8569-the-grogans,THE GROGANS,Oceania,10.0,1.0,5.0,1.0,1292.0,0.0,False
52,6159ad3d143c37878b2384c3,blue,615ffec8143c37878b23868f,https://octane.gg/teams/868f-forkidden,FORKIDDEN,Oceania,29.0,4.0,15.0,2.0,3234.0,0.0,False
53,6159ad3d143c37878b2384c3,orange,6020bc8ef1e4807cc7003915,https://octane.gg/teams/3915-dire-wolves,DIRE WOLVES,Oceania,26.0,7.0,18.0,5.0,3857.0,3.0,True
54,6159ad3d143c37878b2384c4,blue,6020c1fbf1e4807cc7026852,https://octane.gg/teams/6852-vort-central,VORT CENTRAL,Oceania,38.0,13.0,13.0,7.0,4405.0,3.0,True
55,6159ad3d143c37878b2384c4,orange,615580e2f8090ec745286b17,https://octane.gg/teams/6b17-joe,JOE,Oceania,23.0,7.0,20.0,4.0,3864.0,1.0,False
56,6159ad3d143c37878b2384c5,blue,60ffd7dc9d3c410761e88c74,https://octane.gg/teams/8c74-rancid-rats-reborn,RANCID RATS REBORN,Oceania,21.0,5.0,8.0,4.0,2262.0,3.0,True
57,6159ad3d143c37878b2384c5,orange,6091ad1bd50a7d046663343d,https://octane.gg/teams/343d-team-eros,TEAM EROS,Oceania,15.0,4.0,12.0,3.0,2256.0,1.0,False
58,6159ad3d143c37878b2384c6,blue,6156d4db143c37878b238367,https://octane.gg/teams/8367-trident-esports,TRIDENT ESPORTS,Oceania,25.0,7.0,22.0,5.0,4387.0,1.0,False
59,6159ad3d143c37878b2384c6,orange,604e562301d675f81a96aea6,https://octane.gg/teams/aea6-big-goose,BIG GOOSE,Oceania,42.0,12.0,15.0,11.0,4690.0,3.0,True
60,6159ad3d143c37878b2384c7,blue,6020c1fbf1e4807cc7026852,https://octane.gg/teams/6852-vort-central,VORT CENTRAL,Oceania,22.0,5.0,12.0,5.0,3106.0,3.0,True
61,6159ad3d143c37878b2384c7,orange,615c068f143c37878b238569,https://octane.gg/teams/8569-the-grogans,THE GROGANS,Oceania,15.0,1.0,15.0,0.0,2515.0,0.0,False
62,6159ad3d143c37878b2384c8,blue,615ffec8143c37878b23868f,https://octane.gg/teams/868f-forkidden,FORKIDDEN,Oceania,47.0,11.0,15.0,7.0,4938.0,3.0,True
63,6159ad3d143c37878b2384c8,orange,604e562301d675f81a96aea6,https://octane.gg/teams/aea6-big-goose,BIG GOOSE,Oceania,29.0,9.0,23.0,8.0,5153.0,2.0,False
64,6159ad3d143c37878b2384c9,blue,60ffd7dc9d3c410761e88c74,https://octane.gg/teams/8c74-rancid-rats-reborn,RANCID RATS REBORN,Oceania,28.0,7.0,19.0,7.0,3842.0,3.0,True
65,6159ad3d143c37878b2384c9,orange,615332c4143c37878b237fa6,https://octane.gg/teams/7fa6-wildcard-gaming,WILDCARD GAMING,Oceania,23.0,4.0,13.0,4.0,3065.0,0.0,False
66,6159ad6b143c37878b2384ca,blue,604e562301d675f81a96aea6,https://octane.gg/teams/aea6-big-goose,BIG GOOSE,Oceania,36.0,9.0,12.0,7.0,3924.0,3.0,True
67,6159ad6b143c37878b2384ca,orange,6129f47987f814e9fb00020c,https://octane.gg/teams/020c-tisi,TISI,Oceania,21.0,8.0,22.0,6.0,4323.0,2.0,False
68,6159ad6b143c37878b2384cb,blue,615332c4143c37878b237fa6,https://octane.gg/teams/7fa6-wildcard-gaming,WILDCARD GAMING,Oceania,44.0,17.0,9.0,14.0,4698.0,3.0,True
69,6159ad6b143c37878b2384cb,orange,616174ed143c37878b2388ca,https://octane.gg/teams/88ca-bougees-angels,BOUGEE'S ANGELS,Oceania,15.0,3.0,18.0,3.0,2842.0,0.0,False
70,6159ad6b143c37878b2384cc,blue,615c068f143c37878b238569,https://octane.gg/teams/8569-the-grogans,THE GROGANS,Oceania,,,,,,3.0,True
71,6159ad6b143c37878b2384cc,orange,6155c911143c37878b2382c1,https://octane.gg/teams/82c1-smasha5000,SMASHA5000,Oceania,,,,,,1.0,False
72,6159ad6b143c37878b2384cd,blue,615580e2f8090ec745286b17,https://octane.gg/teams/6b17-joe,JOE,Oceania,27.0,13.0,14.0,12.0,4637.0,3.0,True
73,6159ad6b143c37878b2384cd,orange,616174e2143c37878b2388c9,https://octane.gg/teams/88c9-rust-eze,RUST-EZE,Oceania,24.0,6.0,9.0,5.0,2995.0,0.0,False
74,6159ad6b143c37878b2384ce,blue,6091ad1bd50a7d046663343d,https://octane.gg/teams/343d-team-eros,TEAM EROS,Oceania,36.0,8.0,20.0,7.0,4411.0,1.0,False
75,6159ad6b143c37878b2384ce,orange,616174d5f8090ec745287192,https://octane.gg/teams/7192-hms-endeavor,HMS ENDEAVOR,Oceania,34.0,9.0,20.0,8.0,4809.0,3.0,True
76,6159ad6b143c37878b2384cf,blue,6156d4db143c37878b238367,https://octane.gg/teams/8367-trident-esports,TRIDENT ESPORTS,Oceania,22.0,2.0,12.0,1.0,2337.0,0.0,False
77,6159ad6b143c37878b2384cf,orange,6020c3a2f1e4807cc70312c5,https://octane.gg/teams/12c5-wazooo,WAZOOO,Oceania,25.0,7.0,14.0,5.0,3283.0,3.0,True
78,6159ad6b143c37878b2384d0,blue,614c8930f8090ec745286474,https://octane.gg/teams/6474-ranga-roundup,RANGA ROUNDUP,Oceania,48.0,10.0,26.0,3.0,6236.0,3.0,True
79,6159ad6b143c37878b2384d0,orange,6020c717f1e4807cc70490d6,https://octane.gg/teams/90d6-1620-kings,1620 KINGS,Oceania,38.0,7.0,26.0,6.0,6232.0,2.0,False
80,6159ad6b143c37878b2384d1,blue,60c1e2879fc1a47e5f1116c8,https://octane.gg/teams/16c8-panik-gaming,PANIK GAMING,Oceania,19.0,3.0,9.0,3.0,2776.0,1.0,False
81,6159ad6b143c37878b2384d1,orange,615c06c0143c37878b23856a,https://octane.gg/teams/856a-bros-on-their-toes,BROS ON THEIR TOES,Oceania,19.0,9.0,13.0,6.0,3845.0,3.0,True
82,6159ad6b143c37878b2384d2,blue,615332c4143c37878b237fa6,https://octane.gg/teams/7fa6-wildcard-gaming,WILDCARD GAMING,Oceania,33.0,9.0,11.0,7.0,3942.0,3.0,True
83,6159ad6b143c37878b2384d2,orange,614c8930f8090ec745286474,https://octane.gg/teams/6474-ranga-roundup,RANGA ROUNDUP,Oceania,20.0,3.0,20.0,3.0,3427.0,1.0,False
84,6159ad6b143c37878b2384d3,blue,604e562301d675f81a96aea6,https://octane.gg/teams/aea6-big-goose,BIG GOOSE,Oceania,42.0,11.0,14.0,9.0,4744.0,3.0,True
85,6159ad6b143c37878b2384d3,orange,615580e2f8090ec745286b17,https://octane.gg/teams/6b17-joe,JOE,Oceania,33.0,9.0,25.0,7.0,5071.0,1.0,False
86,6159ad6b143c37878b2384d4,blue,6020c3a2f1e4807cc70312c5,https://octane.gg/teams/12c5-wazooo,WAZOOO,Oceania,34.0,7.0,25.0,5.0,4650.0,1.0,False
87,6159ad6b143c37878b2384d4,orange,616174d5f8090ec745287192,https://octane.gg/teams/7192-hms-endeavor,HMS ENDEAVOR,Oceania,43.0,11.0,21.0,8.0,4921.0,3.0,True
88,6159ad6b143c37878b2384d5,blue,615c068f143c37878b238569,https://octane.gg/teams/8569-the-grogans,THE GROGANS,Oceania,15.0,8.0,13.0,6.0,2817.0,3.0,True
89,6159ad6b143c37878b2384d5,orange,615c06c0143c37878b23856a,https://octane.gg/teams/856a-bros-on-their-toes,BROS ON THEIR TOES,Oceania,19.0,2.0,5.0,2.0,1589.0,2.0,False
90,6159ad6b143c37878b2384d6,blue,6020c717f1e4807cc70490d6,https://octane.gg/teams/90d6-1620-kings,1620 KINGS,Oceania,24.0,7.0,18.0,5.0,3754.0,3.0,True
91,6159ad6b143c37878b2384d6,orange,6156d4db143c37878b238367,https://octane.gg/teams/8367-trident-esports,TRIDENT ESPORTS,Oceania,26.0,4.0,12.0,2.0,3186.0,1.0,False
92,6159ad6b143c37878b2384d7,blue,6129f47987f814e9fb00020c,https://octane.gg/teams/020c-tisi,TISI,Oceania,37.0,10.0,12.0,6.0,3806.0,3.0,True
93,6159ad6b143c37878b2384d7,orange,616174ed143c37878b2388ca,https://octane.gg/teams/88ca-bougees-angels,BOUGEE'S ANGELS,Oceania,23.0,5.0,20.0,3.0,3301.0,0.0,False
94,6159ad6b143c37878b2384d8,blue,60c1e2879fc1a47e5f1116c8,https://octane.gg/teams/16c8-panik-gaming,PANIK GAMING,Oceania,24.0,11.0,9.0,8.0,3855.0,3.0,True
95,6159ad6b143c37878b2384d8,orange,6155c911143c37878b2382c1,https://octane.gg/teams/82c1-smasha5000,SMASHA5000,Oceania,15.0,3.0,13.0,3.0,2682.0,0.0,False
96,6159ad6b143c37878b2384d9,blue,6091ad1bd50a7d046663343d,https://octane.gg/teams/343d-team-eros,TEAM EROS,Oceania,25.0,11.0,12.0,9.0,3934.0,3.0,True
97,6159ad6b143c37878b2384d9,orange,616174e2143c37878b2388c9,https://octane.gg/teams/88c9-rust-eze,RUST-EZE,Oceania,21.0,3.0,11.0,2.0,2561.0,0.0,False
98,6159ad6b143c37878b2384da,blue,615332c4143c37878b237fa6,https://octane.gg/teams/7fa6-wildcard-gaming,WILDCARD GAMING,Oceania,26.0,6.0,6.0,6.0,2932.0,3.0,True
99,6159ad6b143c37878b2384da,orange,615c068f143c37878b238569,https://octane.gg/teams/8569-the-grogans,THE GROGANS,Oceania,13.0,3.0,14.0,2.0,2852.0,0.0,False
100,6159ad6b143c37878b2384db,blue,604e562301d675f81a96aea6,https://octane.gg/teams/aea6-big-goose,BIG GOOSE,Oceania,33.0,5.0,18.0,5.0,3935.0,1.0,False
101,6159ad6b143c37878b2384db,orange,616174d5f8090ec745287192,https://octane.gg/teams/7192-hms-endeavor,HMS ENDEAVOR,Oceania,29.0,7.0,21.0,4.0,4058.0,3.0,True
102,6159ad6b143c37878b2384dc,blue,6020c717f1e4807cc70490d6,https://octane.gg/teams/90d6-1620-kings,1620 KINGS,Oceania,49.0,13.0,15.0,10.0,5498.0,3.0,True
103,6159ad6b143c37878b2384dc,orange,615580e2f8090ec745286b17,https://octane.gg/teams/6b17-joe,JOE,Oceania,34.0,13.0,27.0,10.0,6018.0,2.0,False
104,6159ad6b143c37878b2384dd,blue,614c8930f8090ec745286474,https://octane.gg/teams/6474-ranga-roundup,RANGA ROUNDUP,Oceania,36.0,10.0,19.0,5.0,4562.0,3.0,True
105,6159ad6b143c37878b2384dd,orange,6129f47987f814e9fb00020c,https://octane.gg/teams/020c-tisi,TISI,Oceania,28.0,4.0,22.0,2.0,3660.0,1.0,False
106,6159ad6b143c37878b2384de,blue,6020c3a2f1e4807cc70312c5,https://octane.gg/teams/12c5-wazooo,WAZOOO,Oceania,30.0,8.0,13.0,6.0,3640.0,3.0,True
107,6159ad6b143c37878b2384de,orange,60c1e2879fc1a47e5f1116c8,https://octane.gg/teams/16c8-panik-gaming,PANIK GAMING,Oceania,22.0,5.0,18.0,4.0,3370.0,0.0,False
108,6159ad6b143c37878b2384df,blue,615c06c0143c37878b23856a,https://octane.gg/teams/856a-bros-on-their-toes,BROS ON THEIR TOES,Oceania,,,,,,0.0,False
109,6159ad6b143c37878b2384df,orange,6091ad1bd50a7d046663343d,https://octane.gg/teams/343d-team-eros,TEAM EROS,Oceania,,,,,,3.0,True
110,6159ad6b143c37878b2384e0,blue,6156d4db143c37878b238367,https://octane.gg/teams/8367-trident-esports,TRIDENT ESPORTS,Oceania,24.0,9.0,10.0,7.0,3293.0,3.0,True
111,6159ad6b143c37878b2384e0,orange,616174ed143c37878b2388ca,https://octane.gg/teams/88ca-bougees-angels,BOUGEE'S ANGELS,Oceania,19.0,4.0,9.0,4.0,2461.0,0.0,False
112,6159ad6b143c37878b2384e1,blue,616174e2143c37878b2388c9,https://octane.gg/teams/88c9-rust-eze,RUST-EZE,Oceania,31.0,9.0,20.0,7.0,4168.0,3.0,True
113,6159ad6b143c37878b2384e1,orange,6155c911143c37878b2382c1,https://octane.gg/teams/82c1-smasha5000,SMASHA5000,Oceania,30.0,6.0,18.0,5.0,3720.0,1.0,False
114,6159ad6b143c37878b2384e2,blue,604e562301d675f81a96aea6,https://octane.gg/teams/aea6-big-goose,BIG GOOSE,Oceania,48.0,12.0,22.0,10.0,5400.0,3.0,True
115,6159ad6b143c37878b2384e2,orange,6020c717f1e4807cc70490d6,https://octane.gg/teams/90d6-1620-kings,1620 KINGS,Oceania,42.0,12.0,29.0,11.0,5958.0,2.0,False
116,6159ad6b143c37878b2384e3,blue,615c068f143c37878b238569,https://octane.gg/teams/8569-the-grogans,THE GROGANS,Oceania,40.0,11.0,23.0,10.0,5715.0,2.0,False
117,6159ad6b143c37878b2384e3,orange,614c8930f8090ec745286474,https://octane.gg/teams/6474-ranga-roundup,RANGA ROUNDUP,Oceania,36.0,7.0,22.0,6.0,4923.0,3.0,True
118,6159ad6b143c37878b2384e4,blue,6091ad1bd50a7d046663343d,https://octane.gg/teams/343d-team-eros,TEAM EROS,Oceania,34.0,17.0,11.0,13.0,4723.0,3.0,True
119,6159ad6b143c37878b2384e4,orange,6020c3a2f1e4807cc70312c5,https://octane.gg/teams/12c5-wazooo,WAZOOO,Oceania,20.0,2.0,9.0,2.0,1933.0,0.0,False
120,6159ad6b143c37878b2384e5,blue,615580e2f8090ec745286b17,https://octane.gg/teams/6b17-joe,JOE,Oceania,43.0,9.0,21.0,6.0,4790.0,2.0,False
121,6159ad6b143c37878b2384e5,orange,6156d4db143c37878b238367,https://octane.gg/teams/8367-trident-esports,TRIDENT ESPORTS,Oceania,43.0,12.0,27.0,8.0,5820.0,3.0,True
122,6159ad6b143c37878b2384e6,blue,60c1e2879fc1a47e5f1116c8,https://octane.gg/teams/16c8-panik-gaming,PANIK GAMING,Oceania,31.0,5.0,18.0,5.0,3803.0,1.0,False
123,6159ad6b143c37878b2384e6,orange,616174e2143c37878b2388c9,https://octane.gg/teams/88c9-rust-eze,RUST-EZE,Oceania,28.0,7.0,23.0,6.0,4542.0,3.0,True
124,6159ad6b143c37878b2384e7,blue,6129f47987f814e9fb00020c,https://octane.gg/teams/020c-tisi,TISI,Oceania,38.0,13.0,20.0,8.0,4984.0,3.0,True
125,6159ad6b143c37878b2384e7,orange,615c06c0143c37878b23856a,https://octane.gg/teams/856a-bros-on-their-toes,BROS ON THEIR TOES,Oceania,35.0,8.0,18.0,8.0,4336.0,1.0,False
126,6159ad6b143c37878b2384e8,blue,615c068f143c37878b238569,https://octane.gg/teams/8569-the-grogans,THE GROGANS,Oceania,39.0,9.0,19.0,8.0,4698.0,3.0,True
127,6159ad6b143c37878b2384e8,orange,6156d4db143c37878b238367,https://octane.gg/teams/8367-trident-esports,TRIDENT ESPORTS,Oceania,31.0,7.0,21.0,6.0,4573.0,1.0,False
128,6159ad6b143c37878b2384e9,blue,6020c717f1e4807cc70490d6,https://octane.gg/teams/90d6-1620-kings,1620 KINGS,Oceania,33.0,12.0,18.0,9.0,5155.0,3.0,True
129,6159ad6b143c37878b2384e9,orange,6129f47987f814e9fb00020c,https://octane.gg/teams/020c-tisi,TISI,Oceania,28.0,7.0,13.0,6.0,3961.0,1.0,False
