,game_id,color,team_id,team_name,team_region,core_shots,core_goals,core_saves,core_assists,core_score,winner
44,616005e9143c37878b2386dd,blue,6020bc8ef1e4807cc7003915,DIRE WOLVES,Oceania,8,2,2,1,871,False
45,616005e9143c37878b2386dd,orange,615332c4143c37878b237fa6,WILDCARD GAMING,Oceania,5,3,5,2,1136,True
46,61614ef2143c37878b2387e2,blue,6020bec4f1e4807cc70163fc,R!OT GAMING,Oceania,14,2,2,1,897,True
47,61614ef2143c37878b2387e2,orange,615ffec8143c37878b23868f,FORKIDDEN,Oceania,3,1,8,1,1026,False
48,61614ef6f8090ec745287080,blue,6020bec4f1e4807cc70163fc,R!OT GAMING,Oceania,4,2,5,2,1092,True
49,61614ef6f8090ec745287080,orange,615ffec8143c37878b23868f,FORKIDDEN,Oceania,7,1,2,1,766,False
50,61614efcf8090ec745287087,blue,6020bec4f1e4807cc70163fc,R!OT GAMING,Oceania,10,4,7,3,1575,True
51,61614efcf8090ec745287087,orange,615ffec8143c37878b23868f,FORKIDDEN,Oceania,13,2,5,2,1074,False
52,61614e6b143c37878b2387c6,blue,6020bc70f1e4807cc70023fb,RENEGADES,Oceania,9,1,2,0,745,False
53,61614e6b143c37878b2387c6,orange,60ceea8788116f536df972cc,BANDITS ESC,Oceania,4,2,7,2,1194,True
54,61614e70f8090ec745287072,blue,6020bc70f1e4807cc70023fb,RENEGADES,Oceania,11,6,3,5,1576,True
55,61614e70f8090ec745287072,orange,60ceea8788116f536df972cc,BANDITS ESC,Oceania,8,3,4,3,1111,False
56,61614e74f8090ec745287079,blue,6020bc70f1e4807cc70023fb,RENEGADES,Oceania,19,3,7,2,1988,True
57,61614e74f8090ec745287079,orange,60ceea8788116f536df972cc,BANDITS ESC,Oceania,9,2,11,2,2145,False
58,61614e78143c37878b2387cd,blue,6020bc70f1e4807cc70023fb,RENEGADES,Oceania,7,1,7,1,1121,True
59,61614e78143c37878b2387cd,orange,60ceea8788116f536df972cc,BANDITS ESC,Oceania,7,0,6,0,790,False
60,61615254143c37878b2388b4,blue,615c068f143c37878b238569,THE GROGANS,Oceania,8,1,6,1,1044,False
61,61615254143c37878b2388b4,orange,6020bc8ef1e4807cc700391a,GROUND ZERO GAMING,Oceania,8,2,5,2,1111,True
62,61615259f8090ec74528715a,blue,615c068f143c37878b238569,THE GROGANS,Oceania,8,0,6,0,925,False
63,61615259f8090ec74528715a,orange,6020bc8ef1e4807cc700391a,GROUND ZERO GAMING,Oceania,8,1,6,1,1257,True
64,6161525df8090ec745287161,blue,615c068f143c37878b238569,THE GROGANS,Oceania,10,1,5,1,1151,True
65,6161525df8090ec745287161,orange,6020bc8ef1e4807cc700391a,GROUND ZERO GAMING,Oceania,6,0,7,0,1067,False
66,61615262143c37878b2388bb,blue,615c068f143c37878b238569,THE GROGANS,Oceania,3,1,7,0,992,True
67,61615262143c37878b2388bb,orange,6020bc8ef1e4807cc700391a,GROUND ZERO GAMING,Oceania,9,0,1,0,552,False
68,61615266143c37878b2388c2,blue,615c068f143c37878b238569,THE GROGANS,Oceania,3,0,1,0,469,False
69,61615266143c37878b2388c2,orange,6020bc8ef1e4807cc700391a,GROUND ZERO GAMING,Oceania,7,3,3,1,1019,True
70,61600525f8090ec745286e9c,blue,614c8930f8090ec745286474,RANGA ROUNDUP,Oceania,9,1,2,1,732,False
71,61600525f8090ec745286e9c,orange,6156d4db143c37878b238367,TRIDENT ESPORTS,Oceania,6,2,3,1,863,True
